,Player,Nation,Competition,Club,Age,Pos
33951,Julius Biada,de GER,3. Fußball-Liga,Saarbrucken,31,"MF,FW"
33952,Simon Fabio Stehle,de GER,3. Fußball-Liga,Saarbrucken,22,FW
33953,Leo Sahin,fr FRA,3. Fußball-Liga,Saarbrucken,18,FW
33954,Andy Breuer,de GER,3. Fußball-Liga,Saarbrucken,18,MF
33955,Finn Gregor Kotyrba,de GER,3. Fußball-Liga,Saarbrucken,19,GK
33956,Frederik Recktenwald,de GER,3. Fußball-Liga,Saarbrucken,20,MF
33957,Daniel Kyerewaa,de GER,3. Fußball-Liga,Preussen Munster,23,"MF,FW"
33958,Niko Koulis,de GER,3. Fußball-Liga,Preussen Munster,24,DF
33959,Sebastian Mrowca,pl POL,3. Fußball-Liga,Preussen Munster,30,"MF,FW"
33960,Luca Bazzoli,de GER,3. Fußball-Liga,Preussen Munster,23,MF
33961,Malik Batmaz,de GER,3. Fußball-Liga,Preussen Munster,23,FW
33962,Joel Grodowski,de GER,3. Fußball-Liga,Preussen Munster,26,FW
33963,Simon Scherder,de GER,3. Fußball-Liga,Preussen Munster,30,DF
33964,Thomas Kok,nl NED,3. Fußball-Liga,Preussen Munster,25,DF
33965,Alexander Hahn,de GER,3. Fußball-Liga,Preussen Munster,31,DF
33966,Benjamin Böckle,at AUT,3. Fußball-Liga,Preussen Munster,21,MF
33967,Rico Preißinger,de GER,3. Fußball-Liga,Preussen Munster,27,MF
33968,Maximilian Schulze Niehues,de GER,3. Fußball-Liga,Preussen Munster,35,GK
33969,Gerrit Wegkamp,de GER,3. Fußball-Liga,Preussen Munster,30,FW
33970,Johannes Schenk,de GER,3. Fußball-Liga,Preussen Munster,21,GK
33971,Jano ter Horst,de GER,3. Fußball-Liga,Preussen Munster,21,MF
33972,Yassine Bouchama,ma MAR,3. Fußball-Liga,Preussen Munster,26,"MF,FW"
33973,Thorben Deters,de GER,3. Fußball-Liga,Preussen Munster,28,"MF,DF"
33974,Marc Lorenz,de GER,3. Fußball-Liga,Preussen Munster,35,"MF,FW"
33975,Shaibou Oubeyapwa,tg TOG,3. Fußball-Liga,Preussen Munster,30,MF
33976,Dominik Schad,de GER,3. Fußball-Liga,Preussen Munster,26,MF
33977,Andrew Wooten,us USA,3. Fußball-Liga,Preussen Munster,34,FW
33978,Darius Ghindovean,ro ROU,3. Fußball-Liga,Preussen Munster,22,MF
33979,Marvin Benjamins,de GER,3. Fußball-Liga,Preussen Munster,21,DF
33980,Ogechika Heil,de GER,3. Fußball-Liga,Preussen Munster,23,MF
33981,Lukas Frenkert,de GER,3. Fußball-Liga,Preussen Munster,23,DF
33982,Can Mehmet Pohl,de GER,3. Fußball-Liga,Preussen Munster,22,DF
33983,Roman Schabbing,de GER,3. Fußball-Liga,Preussen Munster,21,GK
33984,Luca Steinfeldt,de GER,3. Fußball-Liga,Preussen Munster,27,FW
33985,Christian Ortag,de GER,3. Fußball-Liga,Ulm,29,GK
33986,Bastian Allgeier,de GER,3. Fußball-Liga,Ulm,21,"MF,DF"
33987,Thomas Geyer,de GER,3. Fußball-Liga,Ulm,32,DF
33988,Romario Rösch,de GER,3. Fußball-Liga,Ulm,24,MF
33989,Johannes Reichert,de GER,3. Fußball-Liga,Ulm,32,DF
33990,Dennis Chessa,de GER,3. Fußball-Liga,Ulm,31,"FW,MF"
33991,Philipp Maier,de GER,3. Fußball-Liga,Ulm,29,"MF,FW"
33992,Léo Scienza,br BRA,3. Fußball-Liga,Ulm,25,"FW,MF"
33993,Max Brandt,de GER,3. Fußball-Liga,Ulm,22,MF
33994,Tom Gaal,de GER,3. Fußball-Liga,Ulm,22,DF
33995,Felix Higl,de GER,3. Fußball-Liga,Ulm,27,"FW,MF"
33996,Lamar Yarbrough,de GER,3. Fußball-Liga,Ulm,27,"DF,MF"
33997,Nicolas Jann,de GER,3. Fußball-Liga,Ulm,31,"FW,MF"
33998,Lucas Röser,de GER,3. Fußball-Liga,Ulm,30,FW
33999,Lukas Ahrend,de GER,3. Fußball-Liga,Ulm,23,MF
34000,Andreas Ludwig,de GER,3. Fußball-Liga,Ulm,33,MF
34001,Lennart Stoll,de GER,3. Fußball-Liga,Ulm,27,DF
34002,Sascha Risch,de GER,3. Fußball-Liga,Ulm,23,FW
34003,Tobias Rühle,de GER,3. Fußball-Liga,Ulm,32,"FW,MF"
34004,Dennis de Sousa,br BRA,3. Fußball-Liga,Ulm,27,FW
34005,Moritz Hannemann,de GER,3. Fußball-Liga,Ulm,25,MF
34006,Julian Kudala,de GER,3. Fußball-Liga,Ulm,22,MF
34007,Lenn Jastremski,de GER,3. Fußball-Liga,Ulm,22,FW
34008,David Grözinger,de GER,3. Fußball-Liga,Ulm,24,DF
34009,Lorenz Otto,de GER,3. Fußball-Liga,Ulm,22,GK
34010,Vincent Müller,de GER,3. Fußball-Liga,MSV Duisburg,23,GK
34011,Sebastian Mai,de GER,3. Fußball-Liga,MSV Duisburg,30,"DF,FW"
34012,Caspar Jander,de GER,3. Fußball-Liga,MSV Duisburg,20,MF
34013,Joshua Bitter,de GER,3. Fußball-Liga,MSV Duisburg,27,"DF,MF"
34014,Baran Mogultay,de GER,3. Fußball-Liga,MSV Duisburg,19,DF
34015,Rolf Feltscher,ve VEN,3. Fußball-Liga,MSV Duisburg,33,"DF,MF"
34016,Marvin Knoll,de GER,3. Fußball-Liga,MSV Duisburg,33,DF
34017,Santiago Castaneda,us USA,3. Fußball-Liga,MSV Duisburg,19,MF
34018,Thomas Pledl,de GER,3. Fußball-Liga,MSV Duisburg,29,MF
34019,Tim Köther,de GER,3. Fußball-Liga,MSV Duisburg,22,"MF,DF"
34020,Chinedu Ekene,de GER,3. Fußball-Liga,MSV Duisburg,24,"FW,MF"
34021,Alexander Esswein,de GER,3. Fußball-Liga,MSV Duisburg,33,"MF,FW"
34022,Niclas Stierlin,de GER,3. Fußball-Liga,MSV Duisburg,23,"MF,DF"
34023,Kolja Pusch,de GER,3. Fußball-Liga,MSV Duisburg,30,MF
34024,Marvin Bakalorz,de GER,3. Fußball-Liga,MSV Duisburg,34,"MF,DF"
34025,Marvin Senger,de GER,3. Fußball-Liga,MSV Duisburg,24,DF
34026,Benjamin Girth,de GER,3. Fußball-Liga,MSV Duisburg,31,"FW,DF"
34027,Niklas Kölle,de GER,3. Fußball-Liga,MSV Duisburg,24,"MF,DF"
34028,Jonas Michelbrink,de GER,3. Fußball-Liga,MSV Duisburg,22,"MF,FW"
34029,Pascal Köpke,de GER,3. Fußball-Liga,MSV Duisburg,28,"MF,FW"
34030,Robin Müller,de GER,3. Fußball-Liga,MSV Duisburg,23,"MF,FW"
34031,Tobias Fleckstein,de GER,3. Fußball-Liga,MSV Duisburg,24,DF
34032,Alaa Bakir,jo JOR,3. Fußball-Liga,MSV Duisburg,23,MF
34033,Phillip König,de GER,3. Fußball-Liga,MSV Duisburg,23,FW
34034,Hamza Anhari,de GER,3. Fußball-Liga,MSV Duisburg,19,MF
34035,Maximilian Braune,de GER,3. Fußball-Liga,MSV Duisburg,20,GK
34036,Dennis Smarsch,de GER,3. Fußball-Liga,MSV Duisburg,25,GK
34037,Batuhan Yavuz,tr TUR,3. Fußball-Liga,MSV Duisburg,18,DF
34038,Jakob Golz,de GER,3. Fußball-Liga,Rot Weiss Essen,25,GK
34039,José-Enrique Ríos Alonso,de GER,3. Fußball-Liga,Rot Weiss Essen,23,DF
34040,Torben Müsel,de GER,3. Fußball-Liga,Rot Weiss Essen,24,MF
34041,Vinko Sapina,hr CRO,3. Fußball-Liga,Rot Weiss Essen,28,MF
34042,Lucas Brumme,de GER,3. Fußball-Liga,Rot Weiss Essen,24,DF
34043,Marvin Obuz,de GER,3. Fußball-Liga,Rot Weiss Essen,21,MF
34044,Isaiah Young,us USA,3. Fußball-Liga,Rot Weiss Essen,25,MF
34045,Cedric Harenbrock,de GER,3. Fußball-Liga,Rot Weiss Essen,25,MF
34046,Felix Götze,de GER,3. Fußball-Liga,Rot Weiss Essen,25,"DF,MF"
34047,Eric Voufack,de GER,3. Fußball-Liga,Rot Weiss Essen,22,DF
34048,Andreas Wiegel,de GER,3. Fußball-Liga,Rot Weiss Essen,32,DF
34049,Leonardo Vonić,hr CRO,3. Fußball-Liga,Rot Weiss Essen,20,FW
34050,Moussa Doumbouya,gn GUI,3. Fußball-Liga,Rot Weiss Essen,26,FW
34051,Ron Berlinski,de GER,3. Fußball-Liga,Rot Weiss Essen,29,"FW,MF"
34052,Mustafa Kourouma,de GER,3. Fußball-Liga,Rot Weiss Essen,21,DF
34053,Felix Bastians,de GER,3. Fußball-Liga,Rot Weiss Essen,35,DF
34054,Thomas Eisfeld,de GER,3. Fußball-Liga,Rot Weiss Essen,31,MF
34055,Björn Rother,de GER,3. Fußball-Liga,Rot Weiss Essen,27,MF
34056,Sascha Voelcke,de GER,3. Fußball-Liga,Rot Weiss Essen,21,MF
34057,Nils Kaiser,de GER,3. Fußball-Liga,Rot Weiss Essen,21,MF
34058,Aaron Manu,de GER,3. Fußball-Liga,Rot Weiss Essen,24,DF
34059,Sandro Plechaty,de GER,3. Fußball-Liga,Rot Weiss Essen,26,MF
34060,Felix Bernd Wienand,de GER,3. Fußball-Liga,Rot Weiss Essen,21,GK
34061,Mats Brune,de GER,3. Fußball-Liga,Rot Weiss Essen,18,DF
34062,Ahmed Etri,de GER,3. Fußball-Liga,Rot Weiss Essen,18,MF
34063,Yan Frießner Montas,de GER,3. Fußball-Liga,Rot Weiss Essen,17,MF
34064,Ole Springer,de GER,3. Fußball-Liga,Rot Weiss Essen,32,GK
34065,Mael Corboz,us USA,3. Fußball-Liga,Verl,29,MF
34066,Nico Ochojski,de GER,3. Fußball-Liga,Verl,25,DF
34067,Michel Stöcker,de GER,3. Fußball-Liga,Verl,24,DF
34068,Luca Unbehaun,de GER,3. Fußball-Liga,Verl,22,GK
34069,Torge Paetow,de GER,3. Fußball-Liga,Verl,28,DF
34070,Marcel Benger,de GER,3. Fußball-Liga,Verl,25,MF
34071,Oliver Batista-Meier,de GER,3. Fußball-Liga,Verl,22,"MF,FW"
34072,Lars Lokotsch,de GER,3. Fußball-Liga,Verl,27,FW
34073,Tom Baack,de GER,3. Fußball-Liga,Verl,24,MF
34074,Nicolás Sessa,ar ARG,3. Fußball-Liga,Verl,27,"MF,FW"
34075,Maximilian Wolfram,de GER,3. Fußball-Liga,Verl,26,"FW,MF"
34076,Barne Pernot,de GER,3. Fußball-Liga,Verl,24,DF
34077,Patrick Kammerbauer,de GER,3. Fußball-Liga,Verl,26,MF
34078,Fabio Gruber,de GER,3. Fußball-Liga,Verl,21,DF
34079,Yari Otto,de GER,3. Fußball-Liga,Verl,24,FW
34080,Daniel Mikic,de GER,3. Fußball-Liga,Verl,31,DF
34081,Marcel Mehlem,de GER,3. Fußball-Liga,Verl,28,MF
34082,Tom Müller,de GER,3. Fußball-Liga,Verl,26,GK
34083,Tobias-Mbunjiro Knost,de GER,3. Fußball-Liga,Verl,23,DF
34084,Hendrik Mittelstädt,de GER,3. Fußball-Liga,Verl,24,FW
34085,Robin Friedrich,de GER,3. Fußball-Liga,Verl,20,FW
34086,Joscha Wosz,de GER,3. Fußball-Liga,Verl,21,MF
34087,Gideon Guzy,de GER,3. Fußball-Liga,Verl,20,MF
34088,Giulien Kaps,de GER,3. Fußball-Liga,Verl,22,DF
34089,Fabian Pekruhl,de GER,3. Fußball-Liga,Verl,24,GK
34090,Tim Wiesner,de GER,3. Fußball-Liga,Verl,27,GK
34091,Stefan Drljača,de GER,3. Fußball-Liga,Dresden,24,GK
34092,Jakob Lewald,de GER,3. Fußball-Liga,Dresden,24,DF
34093,Paul Will,de GER,3. Fußball-Liga,Dresden,24,MF
34094,Claudio Kammerknecht,lk SRI,3. Fußball-Liga,Dresden,24,DF
34095,Niklas Hauptmann,de GER,3. Fußball-Liga,Dresden,27,MF
34096,Stefan Kutschke,de GER,3. Fußball-Liga,Dresden,35,FW
34097,Luca Herrmann,de GER,3. Fußball-Liga,Dresden,24,MF
34098,Tom Zimmerschied,de GER,3. Fußball-Liga,Dresden,25,"FW,MF"
34099,Jakob Lemmer,de GER,3. Fußball-Liga,Dresden,23,"FW,MF"
34100,Tobias Kraulich,de GER,3. Fußball-Liga,Dresden,24,DF
34101,Jonathan Meier,de GER,3. Fußball-Liga,Dresden,24,DF
34102,Lars Bünning,de GER,3. Fußball-Liga,Dresden,25,DF
34103,Dennis Borkowski,de GER,3. Fußball-Liga,Dresden,21,"FW,MF"
34104,Park Kyuhyun,kr KOR,3. Fußball-Liga,Dresden,22,DF
34105,Kevin Ehlers,de GER,3. Fußball-Liga,Dresden,22,DF
34106,Robin Meißner,de GER,3. Fußball-Liga,Dresden,24,"FW,MF"
34107,Panagiotis Vlachodimos,gr GRE,3. Fußball-Liga,Dresden,32,"MF,FW"
34108,Manuel Schäffler,de GER,3. Fußball-Liga,Dresden,34,FW
34109,Tom Berger,de GER,3. Fußball-Liga,Dresden,22,MF
34110,Jonas Oehmichen,de GER,3. Fußball-Liga,Dresden,19,MF
34111,Lucas Cueto,de GER,3. Fußball-Liga,Dresden,27,"FW,MF"
34112,Erik Herrmann,de GER,3. Fußball-Liga,Dresden,19,GK
34113,Tony Menzel,de GER,3. Fußball-Liga,Dresden,18,MF
34114,Kevin Broll,de GER,3. Fußball-Liga,Dresden,28,GK
34115,Seo Jongmin,kr KOR,3. Fußball-Liga,Dresden,21,MF
34116,Paul Lehmann,de GER,3. Fußball-Liga,Dresden,19,FW
34117,Kyrylo Melichenko,ua UKR,3. Fußball-Liga,Dresden,24,DF
34118,Serge Müller,ch SUI,3. Fußball-Liga,SC Freiburg II,23,DF
34119,Philip Fahrner,de GER,3. Fußball-Liga,SC Freiburg II,21,"DF,MF"
34120,Julian Stark,de GER,3. Fußball-Liga,SC Freiburg II,22,"MF,DF"
34121,Ryan Johansson,ie IRL,3. Fußball-Liga,SC Freiburg II,22,"MF,FW"
34122,Mika Baur,de GER,3. Fußball-Liga,SC Freiburg II,19,"MF,FW"
34123,Joel Bichsel,ch SUI,3. Fußball-Liga,SC Freiburg II,21,DF
34124,Hamadi Al Ghaddioui,ma MAR,3. Fußball-Liga,SC Freiburg II,33,FW
34125,Lukáš Ambros,cz CZE,3. Fußball-Liga,SC Freiburg II,19,MF
34126,Maximilian Breunig,de GER,3. Fußball-Liga,SC Freiburg II,23,FW
34127,Fabian Rüdlin,de GER,3. Fußball-Liga,SC Freiburg II,27,MF
34128,Pascal Fallmann,at AUT,3. Fußball-Liga,SC Freiburg II,20,DF
34129,Benjamin Uphoff,de GER,3. Fußball-Liga,SC Freiburg II,30,GK
34130,Luca Marino,de GER,3. Fußball-Liga,SC Freiburg II,18,"MF,DF"
34131,Patrick Lienhard,de GER,3. Fußball-Liga,SC Freiburg II,31,"MF,FW"
34132,Jaaso Jantunen,fi FIN,3. Fußball-Liga,SC Freiburg II,18,GK
34133,Jordy Makengo,fr FRA,3. Fußball-Liga,SC Freiburg II,22,DF
34134,Franci Bouebari,fr FRA,3. Fußball-Liga,SC Freiburg II,20,DF
34135,Alexander Lungwitz,de GER,3. Fußball-Liga,SC Freiburg II,23,"DF,MF"
34136,Berkay Yılmaz,tr TUR,3. Fußball-Liga,SC Freiburg II,18,"DF,MF"
34137,Felix Allgaier,de GER,3. Fußball-Liga,SC Freiburg II,20,"MF,DF"
34138,Niklas Sauter,de GER,3. Fußball-Liga,SC Freiburg II,20,GK
34139,Ifechukwu Ogbus,ch SUI,3. Fußball-Liga,SC Freiburg II,18,DF
34140,Davino Knappe,de GER,3. Fußball-Liga,SC Freiburg II,21,"MF,FW"
34141,Sebastian Hornung,de GER,3. Fußball-Liga,SC Freiburg II,22,GK
34142,Lee Jihan,kr KOR,3. Fußball-Liga,SC Freiburg II,21,FW
34143,Oscar Wiklöf,fi FIN,3. Fußball-Liga,SC Freiburg II,20,MF
34144,Junior Adamu,at AUT,3. Fußball-Liga,SC Freiburg II,22,MF
34145,Marco Wörner,de GER,3. Fußball-Liga,SC Freiburg II,19,FW
34146,Gabriel Pellegrino,ca CAN,3. Fußball-Liga,SC Freiburg II,19,MF
34147,Yann Sturm,de GER,3. Fußball-Liga,SC Freiburg II,18,FW
34148,Sandrino Braun,de GER,3. Fußball-Liga,SC Freiburg II,35,"DF,MF"
34149,Laurin Mack,de GER,3. Fußball-Liga,SC Freiburg II,20,GK
34150,Guillerme Furrer,ch SUI,3. Fußball-Liga,SC Freiburg II,22,FW
34151,Konrad Faber,de GER,3. Fußball-Liga,Jahn Regensburg,26,"DF,MF"
34152,Felix Gebhardt,de GER,3. Fußball-Liga,Jahn Regensburg,21,GK
34153,Christian Viet,de GER,3. Fußball-Liga,Jahn Regensburg,24,MF
34154,Louis Breunig,de GER,3. Fußball-Liga,Jahn Regensburg,20,DF
34155,Benedikt Saller,de GER,3. Fußball-Liga,Jahn Regensburg,31,DF
34156,Andreas Geipl,de GER,3. Fußball-Liga,Jahn Regensburg,31,MF
34157,Rasim Bulic,de GER,3. Fußball-Liga,Jahn Regensburg,23,MF
34158,Dominik Kother,de GER,3. Fußball-Liga,Jahn Regensburg,23,"MF,FW"
34159,Oscar Schönfelder,de GER,3. Fußball-Liga,Jahn Regensburg,22,"MF,FW"
34160,Florian Ballas,de GER,3. Fußball-Liga,Jahn Regensburg,31,DF
34161,Noah Ganaus,de GER,3. Fußball-Liga,Jahn Regensburg,23,FW
34162,Elias Huth,de GER,3. Fußball-Liga,Jahn Regensburg,26,FW
34163,Agyemang Diawusie,de GER,3. Fußball-Liga,Jahn Regensburg,25,"MF,FW"
34164,Robin Ziegele,de GER,3. Fußball-Liga,Jahn Regensburg,26,DF
34165,Bryan Hein,de GER,3. Fußball-Liga,Jahn Regensburg,22,"DF,MF"
34166,Tobias Eisenhuth,de GER,3. Fußball-Liga,Jahn Regensburg,22,"MF,FW"
34167,Alexander Bittroff,de GER,3. Fußball-Liga,Jahn Regensburg,35,DF
34168,Eric Hottmann,de GER,3. Fußball-Liga,Jahn Regensburg,23,"MF,FW"
34169,Jannik Graf,de GER,3. Fußball-Liga,Jahn Regensburg,19,FW
34170,Niclas Anspach,de GER,3. Fußball-Liga,Jahn Regensburg,23,MF
34171,Noel Eichinger,de GER,3. Fußball-Liga,Jahn Regensburg,22,FW
34172,Jonas Bauer,de GER,3. Fußball-Liga,Jahn Regensburg,20,FW
34173,Kelvin Onuigwe,de GER,3. Fußball-Liga,Jahn Regensburg,20,FW
34174,Christian Schmidt,de GER,3. Fußball-Liga,Jahn Regensburg,21,MF
34175,Alexander Weidinger,de GER,3. Fußball-Liga,Jahn Regensburg,26,GK
34176,Leopold Wurm,de GER,3. Fußball-Liga,Jahn Regensburg,17,DF
34177,Marius Funk,de GER,3. Fußball-Liga,Ingolstadt 04,28,GK
34178,Yannick Deichmann,de GER,3. Fußball-Liga,Ingolstadt 04,29,"MF,DF"
34179,Jannik Mause,de GER,3. Fußball-Liga,Ingolstadt 04,25,"FW,MF"
34180,Lukas Fröde,de GER,3. Fußball-Liga,Ingolstadt 04,28,"MF,DF"
34181,Simon Lorenz,de GER,3. Fußball-Liga,Ingolstadt 04,26,"DF,MF"
34182,Ryan Malone,us USA,3. Fußball-Liga,Ingolstadt 04,31,DF
34183,Benjamin Kanuric,at AUT,3. Fußball-Liga,Ingolstadt 04,20,"MF,FW"
34184,Felix Keidel,de GER,3. Fußball-Liga,Ingolstadt 04,20,MF
34185,Pascal Testroet,de GER,3. Fußball-Liga,Ingolstadt 04,33,FW
34186,David Kopacz,pl POL,3. Fußball-Liga,Ingolstadt 04,24,MF
34187,Mladen Cvjetinovic,ba BIH,3. Fußball-Liga,Ingolstadt 04,20,DF
34188,Moritz Seiffert,de GER,3. Fußball-Liga,Ingolstadt 04,23,"DF,MF"
34189,Marcel Costly,de GER,3. Fußball-Liga,Ingolstadt 04,28,"DF,MF"
34190,Leon Guwara,gm GAM,3. Fußball-Liga,Ingolstadt 04,27,"DF,MF"
34191,Julian Kügel,de GER,3. Fußball-Liga,Ingolstadt 04,26,"FW,MF"
34192,Daouda Beleme,bf BFA,3. Fußball-Liga,Ingolstadt 04,23,"FW,MF"
34193,Bryang Kayo,us USA,3. Fußball-Liga,Ingolstadt 04,21,MF
34194,Tobias Schröck,de GER,3. Fußball-Liga,Ingolstadt 04,31,"MF,DF"
34195,Thomas Rausch,de GER,3. Fußball-Liga,Ingolstadt 04,23,DF
34196,Donald Nduka,ng NGA,3. Fußball-Liga,Ingolstadt 04,20,DF
34197,Arian Llugiqi,xk KVX,3. Fußball-Liga,Ingolstadt 04,21,FW
34198,Deniz Zeitler,de GER,3. Fußball-Liga,Ingolstadt 04,17,FW
34199,Herbert Paul,de GER,3. Fußball-Liga,Ingolstadt 04,29,DF
34200,Jeroen Krupa,de GER,3. Fußball-Liga,Ingolstadt 04,20,FW
34201,Michael Udebuluzor,hk HKG,3. Fußball-Liga,Ingolstadt 04,19,FW
34202,Enrique Bösl,do DOM,3. Fußball-Liga,Ingolstadt 04,19,GK
34203,Elias Decker,de GER,3. Fußball-Liga,Ingolstadt 04,17,DF
34204,Maurice Dehler,de GER,3. Fußball-Liga,Ingolstadt 04,20,GK
34205,Markus Ponath,de GER,3. Fußball-Liga,Ingolstadt 04,23,GK
34206,David Udogu,de GER,3. Fußball-Liga,Ingolstadt 04,20,FW
34207,Patrick Koronkiewicz,de GER,3. Fußball-Liga,Viktoria Koln,32,MF
34208,Michael Schultz,de GER,3. Fußball-Liga,Viktoria Koln,30,DF
34209,Luca Marseiler,de GER,3. Fußball-Liga,Viktoria Koln,26,"MF,FW"
34210,Niklas May,de GER,3. Fußball-Liga,Viktoria Koln,21,MF
34211,David Philipp,de GER,3. Fußball-Liga,Viktoria Koln,23,"FW,MF"
34212,Christoph Greger,de GER,3. Fußball-Liga,Viktoria Koln,27,DF
34213,Stefano Russo,de GER,3. Fußball-Liga,Viktoria Koln,23,MF
34214,Ben Alexander Voll,de GER,3. Fußball-Liga,Viktoria Koln,23,GK
34215,Donny Bogicevic,de GER,3. Fußball-Liga,Viktoria Koln,22,"MF,FW"
34216,Jeremias Lorch,de GER,3. Fußball-Liga,Viktoria Koln,28,DF
34217,Moritz Fritz,de GER,3. Fußball-Liga,Viktoria Koln,30,"DF,MF"
34218,Bryan Henning,de GER,3. Fußball-Liga,Viktoria Koln,28,MF
34219,André Becker,de GER,3. Fußball-Liga,Viktoria Koln,27,FW
34220,Simon Handle,at AUT,3. Fußball-Liga,Viktoria Koln,30,"MF,FW"
34221,Kevin Rauhut,de GER,3. Fußball-Liga,Viktoria Koln,34,GK
34222,Lars Dietz,de GER,3. Fußball-Liga,Viktoria Koln,27,DF
34223,Florian Engelhardt,de GER,3. Fußball-Liga,Viktoria Koln,20,MF
34224,David Kubatta,de GER,3. Fußball-Liga,Viktoria Koln,20,DF
34225,Hong Seokju,kr KOR,3. Fußball-Liga,Viktoria Koln,20,FW
34226,Suheyel Najar,tn TUN,3. Fußball-Liga,Viktoria Koln,28,FW
34227,Valdrin Mustafa,xk KVX,3. Fußball-Liga,Viktoria Koln,25,FW
34228,Luca de Meester,de GER,3. Fußball-Liga,Viktoria Koln,19,MF
34229,Jonah Sticker,de GER,3. Fußball-Liga,Viktoria Koln,19,DF
34230,Hassan Ali,de GER,3. Fußball-Liga,Viktoria Koln,18,MF
34231,Elias Bördner,de GER,3. Fußball-Liga,Viktoria Koln,21,GK
34232,Florian Heister,de GER,3. Fußball-Liga,Viktoria Koln,26,DF
34233,Zoumana Keita,de GER,3. Fußball-Liga,Viktoria Koln,18,DF
34234,Martin Männel,de GER,3. Fußball-Liga,Erzgebirge Aue,35,GK
34235,Tim Danhof,de GER,3. Fußball-Liga,Erzgebirge Aue,26,DF
34236,Mirnes Pepić,me MNE,3. Fußball-Liga,Erzgebirge Aue,28,MF
34237,Niko Vukancic,de GER,3. Fußball-Liga,Erzgebirge Aue,21,DF
34238,Borys Tashchy,ua UKR,3. Fußball-Liga,Erzgebirge Aue,30,MF
34239,Marco Schikora,de GER,3. Fußball-Liga,Erzgebirge Aue,29,MF
34240,Marcel Bär,de GER,3. Fußball-Liga,Erzgebirge Aue,31,FW
34241,Marvin Stefaniak,de GER,3. Fußball-Liga,Erzgebirge Aue,28,MF
34242,Omar Sijarić,de GER,3. Fußball-Liga,Erzgebirge Aue,22,MF
34243,Sean-Andreas Seitz,de GER,3. Fußball-Liga,Erzgebirge Aue,21,MF
34244,Linus Rosenlöcher,de GER,3. Fußball-Liga,Erzgebirge Aue,23,DF
34245,Anthony Barylla,de GER,3. Fußball-Liga,Erzgebirge Aue,26,DF
34246,Kilian Jakob,de GER,3. Fußball-Liga,Erzgebirge Aue,25,DF
34247,Erik Majetschak,de GER,3. Fußball-Liga,Erzgebirge Aue,23,"DF,MF"
34248,Steffen Nkansah,de GER,3. Fußball-Liga,Erzgebirge Aue,27,DF
34249,Maxi Thiel,de GER,3. Fußball-Liga,Erzgebirge Aue,30,"MF,FW"
34250,Steffen Meuer,de GER,3. Fußball-Liga,Erzgebirge Aue,24,FW
34251,Joshua Schwirten,de GER,3. Fußball-Liga,Erzgebirge Aue,22,MF
34252,Korbinian Burger,de GER,3. Fußball-Liga,Erzgebirge Aue,28,DF
34253,Ramzi Ferjani,tn TUN,3. Fußball-Liga,Erzgebirge Aue,22,"DF,MF"
34254,Luc Elsner,de GER,3. Fußball-Liga,Erzgebirge Aue,20,FW
34255,Franco Schädlich,de GER,3. Fußball-Liga,Erzgebirge Aue,19,DF
34256,Tim Kips,lu LUX,3. Fußball-Liga,Erzgebirge Aue,23,GK
34257,Louis Lord,de GER,3. Fußball-Liga,Erzgebirge Aue,20,GK
34258,Dennis Waidner,de GER,3. Fußball-Liga,Unterhaching,22,"DF,MF"
34259,Raphael Schifferl,at AUT,3. Fußball-Liga,Unterhaching,24,DF
34260,René Vollath,de GER,3. Fußball-Liga,Unterhaching,33,GK
34261,Mathias Fetsch,de GER,3. Fußball-Liga,Unterhaching,35,FW
34262,Patrick Hobsch,de GER,3. Fußball-Liga,Unterhaching,29,"FW,MF"
34263,Simon Skarlatidis,de GER,3. Fußball-Liga,Unterhaching,32,MF
34264,Sebastian Maier,de GER,3. Fußball-Liga,Unterhaching,30,MF
34265,Josef Welzmüller,de GER,3. Fußball-Liga,Unterhaching,34,DF
34266,Markus Schwabl,de GER,3. Fußball-Liga,Unterhaching,33,DF
34267,Aaron Keller,de GER,3. Fußball-Liga,Unterhaching,19,MF
34268,Manuel Stiefler,de GER,3. Fußball-Liga,Unterhaching,35,"MF,DF"
34269,Ben Westermeier,de GER,3. Fußball-Liga,Unterhaching,20,MF
34270,Maurice Krattenmacher,de GER,3. Fußball-Liga,Unterhaching,18,"MF,FW"
34271,Benedikt Bauer,de GER,3. Fußball-Liga,Unterhaching,20,DF
34272,Nils Ortel,de GER,3. Fußball-Liga,Unterhaching,19,"DF,FW"
34273,Boipelo Mashigo,za RSA,3. Fußball-Liga,Unterhaching,20,"MF,FW"
34274,Maximilian Welzmüller,de GER,3. Fußball-Liga,Unterhaching,34,MF
34275,Timon Obermeier,de GER,3. Fußball-Liga,Unterhaching,20,DF
34276,Konstantin Heide,de GER,3. Fußball-Liga,Unterhaching,17,GK
34277,Tim Hoops,de GER,3. Fußball-Liga,Unterhaching,18,DF
34278,Florian Schmid,de GER,3. Fußball-Liga,Unterhaching,23,FW
34279,Max Lamby,de GER,3. Fußball-Liga,Unterhaching,20,DF
34280,Tim Hannemann,de GER,3. Fußball-Liga,Unterhaching,17,DF
34281,Andreas Hirtlreiter,de GER,3. Fußball-Liga,Unterhaching,20,FW
